Ontario,"$599,900 ",16-Apr-18,Burlington,L7L0C4,,"2,915.76 CAD (2017)",,,2,2,"1,515"
Ontario,"$739,880 ",11-May-18,Ottawa,K1L 7T5,2018,,,0.044 Ac,3,3,
Ontario,"$549,900 ",28-May-18,Ottawa,K2C 1A9,1960,,Full ,0.121 Ac,3,2,
Ontario,"$389,900 ",27-Mar-18,Ottawa,K1Y 3R2,,"3,917 CAD (2017)",Full ,0.051 Ac,2,1,
Ontario,"$799,900 ",05-Oct-18,Mississauga,L5A3G5,,,Walkout ,,4,2,
Ontario,"$649,900 ",07-Nov-18,Ottawa,K4A 5A7,2005,"6,143 CAD (2018)",Full ,0.129 Ac,4,4,
Ontario,"$789,000 ",21-Nov-18,Ottawa,K2J 0M2,2009,"8,494 CAD (2018)",Full ,0.292 Ac,5,5,
Ontario,"$1,650,000 ",08-Nov-18,Ottawa,K4M 1A4,,,,,,,
Ontario,"$199,900 ",21-Nov-18,Fort Erie,L0S 1S0,1952,"2,664 CAD (2018)",Part Partial Basement/Unfinished,0.91 Ac,3,1,"1,474"
Ontario,"$314,900 ",27-Nov-18,Ottawa,K1W 0G5,2012,"3,270 CAD (2017)",Full ,0.032 Ac,2,3,
Ontario,"$439,900 ",06-Nov-18,Ottawa,K1T 0H9,2008,"3,300 CAD (2018)",Full ,0.065 Ac,3,4,
Ontario,"$344,900 ",26-Mar-18,Toronto,M8Z 1N8,,,,,,1,505
Ontario,"$410,000 ",26-Sep-18,Kitchener,N2A 4E1,,,,,2,2,
Ontario,"$234,999 ",18-Nov-18,Ottawa,K2K 1B8,1975,"2,474 CAD (2017)",Full ,,3,3,
Ontario,"$699,900 ",19-Oct-18,Niagara-on-the-Lake,L0S 1J0,,,,,2,2,"1,868"
Ontario,"$484,500 ",06-Aug-18,Ottawa,K4A 4T1,2006,,Full ,0.087 Ac,5,3,
Ontario,"$259,900 ",05-Oct-18,Niagara Falls,,,"1,882 CAD (2018)",Full Unfinished,0.107 Ac,3,1,"1,400"
Ontario,"$375,000 ",12-Nov-18,Thames Centre,N0M 1P0,1954,,Full ,0.663 Ac,3,1,"1,018"
Ontario,"$410,000 ",09-Oct-18,Toronto,M3C2Z3,,,,,3,2,
Ontario,"$615,000 ",27-Oct-18,Middlesex Centre,N0L1R0,2018,,Full ,,4,2,"2,500"
Ontario,"$439,900 ",16-Sep-18,Toronto,M6K2L3,,,,,,,
Ontario,"$400,000 ",16-Jun-18,Toronto,M8Y 1J3,,,,,,,
Ontario,"$444,900 ",22-Nov-18,Ottawa,K2J 6G9,2016,"3,430 CAD (2018)",Full ,0.056 Ac,3,3,
Ontario,"$444,000 ",29-Nov-18,Ottawa,K2S 0G7,,,,,,,
Ontario,"$742,500 ",11-Sep-18,Lincoln,L0R 1B2,,"4,469 CAD (2018)",Full Full/Fully Finished,0.83 Ac,3,2,"1,541"
Ontario,"$469,900 ",07-Aug-18,Ottawa,K1S 5K3,2015,"4,067 CAD (2018)",,,1,1,
Ontario,"$639,800 ",02-Nov-18,Kitchener,N2R 0B4,,,Full ,,4,2,"2,120"
Ontario,"$344,900 ",06-Sep-18,Fort Erie,L2A4A3,,"2,740 CAD (2018)",Full Fully Finished,0.187 Ac,4,2,"1,200"
Ontario,"$299,900 ",25-Nov-18,Port Hope,L1A 3Z7,1975,,Full ,,4,1,
Ontario,"$449,900 ",02-Oct-18,Welland,L3B 5N4,,"3,670 CAD (2018)",Full ,0.799 Ac,2,2,"1,500"
Ontario,"$545,500 ",29-Mar-18,Tiny,L9M 0H7,,"2,000 CAD (2017)",,,2,2,"1,200"
Ontario,"$599,900 ",02-Aug-18,Dutton - Dunwich,N0L 2M0,,"3,771 CAD (2017)",Part ,3.44 Ac,4,2,
Ontario,"$629,900 ",11-Sep-18,Saugeen Shores,N0H2C2,2011,,Full ,0.153 Ac,4,3,"3,027"
Ontario,"$749,000 ",05-Jun-18,Niagara-on-the-Lake,L0S 1J0,1987,,Full ,1.5 Ac,3,2,"1,750"
Ontario,"$350,000 ",19-Oct-18,Mississauga,L5B 4A4,,,,0.011 Ac,1,1,
Ontario,"$249,900 ",26-Nov-18,Wendover,K0A 3K0,1970,,Full Unfinished,,2,1,
Ontario,"$799,900 ",26-Jul-18,Mississauga,L5G2R9,,,,,3,3,
Ontario,"$825,000 ",25-Jul-18,Waterloo,N2L 0B6,2013,"5,667 CAD (2018)",,,3,2,"1,781"
Ontario,"$479,900 ",01-Oct-18,St. Catharines,L2M2E4,,,Full ,0.225 Ac,3,2,"1,314"
Ontario,"$685,500 ",09-Aug-18,Mapleton,N0G 1P0,2017,,Full Fully Finished,0.198 Ac,4,3,
Ontario,"$399,900 ",10-Oct-18,Brighton,K0K 1H0,2002,,Full ,0.153 Ac,2,2,"1,590"
Ontario,"$464,900 ",30-Nov-18,Mississauga,L5B4M8,,,,,2,2,
Ontario,"$399,999 ",30-Oct-18,Ottawa,K2G 7E8,2005,"3,416 CAD (2018)",Full ,0.07 Ac,3,3,
Ontario,"$729,000 ",17-Sep-18,Toronto,M1J 2C8,,,Full Finished,,4,4,
Ontario,"$329,900 ",01-Nov-18,Oshawa,L1H2V6,,"2,799.83 CAD (2018)","Part Fin, Sep Entrance",0.087 Ac,2,2,
Ontario,"$1,098,800 ",24-Aug-18,Manotick,K4M 1H1,2017,"5,871 CAD (2018)",,,5,3,
Ontario,"$359,900 ",06-Sep-18,Waterloo,N2K 0B9,,,,,1,1,918
Ontario,"$699,500 ",29-Mar-18,Tiny,L0L 1P1,2018,,Full ,0.415 Ac,3,2,"1,817"
Ontario,"$669,999 ",30-Jul-18,Toronto,M2J 0B1,,"2,713.61 CAD (2018)",,,2,2,
Ontario,"$739,900 ",22-Oct-18,Clarington,L1E0C3,,,Full ,,4,3,
